mean_speed_kmh,bus_type,level_of_loading,incline,t_amb,consumption_kwh_per_km,total_energy,heating_energy,heating_energy_el,ventilation_energy,other_energy,aux_energy,traction_power_fr_bat_wout_recup,traction_power_fr_bat_w_recup,recuperation_energy,traction_power_loss,energy_loss,distance
2.626,nor_bus,0,-0.04,-20,11.043,0.666,0.562,0.562,0.012,0.047,0.619,0.014,0.014,0,0.078,0.078,59.699
2.626,nor_bus,0,-0.04,-15,9.733,0.587,0.487,0.487,0.012,0.047,0.544,0.014,0.014,0,0.078,0.078,59.699
2.626,nor_bus,0,-0.04,-10,8.45,0.51,0.413,0.413,0.012,0.047,0.471,0.014,0.014,0,0.078,0.078,59.699
2.626,nor_bus,0,-0.04,-5,7.192,0.434,0.341,0.341,0.012,0.047,0.399,0.014,0.014,0,0.078,0.078,59.699
2.626,nor_bus,0,-0.04,0,5.959,0.36,0.27,0.27,0.012,0.047,0.328,0.014,0.014,0,0.078,0.078,59.699
2.626,nor_bus,0,-0.04,5,4.749,0.287,0.201,0.201,0.012,0.047,0.259,0.014,0.014,0,0.078,0.078,59.699
2.626,nor_bus,0,-0.04,10,3.56,0.215,0.133,0.133,0.012,0.047,0.191,0.014,0.014,0,0.078,0.078,59.699
2.626,nor_bus,0,-0.04,15,2.391,0.144,0.066,0.066,0.012,0.047,0.124,0.014,0.014,0,0.078,0.078,59.699
2.626,nor_bus,0,-0.04,20,1.242,0.075,0,0,0.012,0.047,0.058,0.014,0.014,0,0.078,0.078,59.699
2.626,nor_bus,0,-0.04,25,1.297,0.078,-0.065,0.003,0.012,0.047,0.061,0.014,0.014,0,0.078,0.078,59.699
2.626,nor_bus,0,-0.04,30,1.46,0.088,-0.129,0.013,0.012,0.047,0.07,0.014,0.014,0,0.078,0.078,59.699
2.626,nor_bus,0,-0.013333333,-20,11.214,0.677,0.562,0.562,0.012,0.047,0.619,0.025,0.025,0,0.031,0.031,59.699
2.626,nor_bus,0,-0.013333333,-15,9.904,0.598,0.487,0.487,0.012,0.047,0.544,0.025,0.025,0,0.031,0.031,59.699
2.626,nor_bus,0,-0.013333333,-10,8.622,0.52,0.413,0.413,0.012,0.047,0.471,0.025,0.025,0,0.031,0.031,59.699
2.626,nor_bus,0,-0.013333333,-5,7.364,0.444,0.341,0.341,0.012,0.047,0.399,0.025,0.025,0,0.031,0.031,59.699
2.626,nor_bus,0,-0.013333333,0,6.131,0.37,0.27,0.27,0.012,0.047,0.328,0.025,0.025,0,0.031,0.031,59.699
2.626,nor_bus,0,-0.013333333,5,4.92,0.297,0.201,0.201,0.012,0.047,0.259,0.025,0.025,0,0.031,0.031,59.699
2.626,nor_bus,0,-0.013333333,10,3.731,0.225,0.133,0.133,0.012,0.047,0.191,0.025,0.025,0,0.031,0.031,59.699
2.626,nor_bus,0,-0.013333333,15,2.563,0.155,0.066,0.066,0.012,0.047,0.124,0.025,0.025,0,0.031,0.031,59.699
2.626,nor_bus,0,-0.013333333,20,1.413,0.085,0,0,0.012,0.047,0.058,0.025,0.025,0,0.031,0.031,59.699
2.626,nor_bus,0,-0.013333333,25,1.469,0.089,-0.065,0.003,0.012,0.047,0.061,0.025,0.025,0,0.031,0.031,59.699
2.626,nor_bus,0,-0.013333333,30,1.632,0.098,-0.129,0.013,0.012,0.047,0.07,0.025,0.025,0,0.031,0.031,59.699
2.626,nor_bus,0,0.013333333,-20,12.1,0.73,0.562,0.562,0.012,0.047,0.619,0.078,0.078,0,0.027,0.027,59.699
2.626,nor_bus,0,0.013333333,-15,10.79,0.651,0.487,0.487,0.012,0.047,0.544,0.078,0.078,0,0.027,0.027,59.699
2.626,nor_bus,0,0.013333333,-10,9.507,0.574,0.413,0.413,0.012,0.047,0.471,0.078,0.078,0,0.027,0.027,59.699
2.626,nor_bus,0,0.013333333,-5,8.25,0.498,0.341,0.341,0.012,0.047,0.399,0.078,0.078,0,0.027,0.027,59.699
2.626,nor_bus,0,0.013333333,0,7.017,0.423,0.27,0.27,0.012,0.047,0.328,0.078,0.078,0,0.027,0.027,59.699
2.626,nor_bus,0,0.013333333,5,5.806,0.35,0.201,0.201,0.012,0.047,0.259,0.078,0.078,0,0.027,0.027,59.699
2.626,nor_bus,0,0.013333333,10,4.617,0.279,0.133,0.133,0.012,0.047,0.191,0.078,0.078,0,0.027,0.027,59.699
2.626,nor_bus,0,0.013333333,15,3.448,0.208,0.066,0.066,0.012,0.047,0.124,0.078,0.078,0,0.027,0.027,59.699
