mean_speed_kmh,bus_type,level_of_loading,incline,t_amb,consumption_kwh_per_km,total_energy,heating_energy,heating_energy_el,ventilation_energy,other_energy,aux_energy,traction_power_fr_bat_wout_recup,traction_power_fr_bat_w_recup,recuperation_energy,traction_power_loss,energy_loss,distance
2.626,ebus2030_no_diesel_10m,0.0,-0.05,-20,14.524,0.876,0.758,0.758,0.01,0.058,0.826,0.007,0.007,0.0,0.079,0.079,59.699
2.626,ebus2030_no_diesel_10m,0.0,-0.05,-15,12.29,0.742,0.63,0.63,0.01,0.058,0.697,0.007,0.007,0.0,0.079,0.079,59.699
2.626,ebus2030_no_diesel_10m,0.0,-0.05,-10,10.123,0.611,0.506,0.506,0.01,0.058,0.573,0.007,0.007,0.0,0.079,0.079,59.699
2.626,ebus2030_no_diesel_10m,0.0,-0.05,-5,8.019,0.484,0.385,0.385,0.01,0.058,0.453,0.007,0.007,0.0,0.079,0.079,59.699
2.626,ebus2030_no_diesel_10m,0.0,-0.05,0,6.755,0.408,0.313,0.313,0.01,0.058,0.38,0.007,0.007,0.0,0.079,0.079,59.699
2.626,ebus2030_no_diesel_10m,0.0,-0.05,5,5.527,0.333,0.243,0.243,0.01,0.058,0.31,0.007,0.007,0.0,0.079,0.079,59.699
2.626,ebus2030_no_diesel_10m,0.0,-0.05,10,3.573,0.216,0.131,0.131,0.01,0.058,0.198,0.007,0.007,0.0,0.079,0.079,59.699
2.626,ebus2030_no_diesel_10m,0.0,-0.05,15,1.67,0.101,0.021,0.021,0.01,0.058,0.089,0.007,0.007,0.0,0.079,0.079,59.699
2.626,ebus2030_no_diesel_10m,0.0,-0.05,20,1.296,0.078,0.0,0.0,0.01,0.058,0.067,0.007,0.007,0.0,0.079,0.079,59.699
2.626,ebus2030_no_diesel_10m,0.0,-0.05,25,1.783,0.108,-0.042,0.028,0.01,0.058,0.095,0.007,0.007,0.0,0.079,0.079,59.699
2.626,ebus2030_no_diesel_10m,0.0,-0.05,30,2.498,0.151,-0.103,0.069,0.01,0.058,0.136,0.007,0.007,0.0,0.079,0.079,59.699
2.626,ebus2030_no_diesel_10m,0.0,0.0,-20,14.854,0.896,0.758,0.758,0.01,0.058,0.826,0.027,0.027,0.0,0.017,0.017,59.699
2.626,ebus2030_no_diesel_10m,0.0,0.0,-15,12.62,0.761,0.63,0.63,0.01,0.058,0.697,0.027,0.027,0.0,0.017,0.017,59.699
2.626,ebus2030_no_diesel_10m,0.0,0.0,-10,10.453,0.631,0.506,0.506,0.01,0.058,0.573,0.027,0.027,0.0,0.017,0.017,59.699
2.626,ebus2030_no_diesel_10m,0.0,0.0,-5,8.349,0.504,0.385,0.385,0.01,0.058,0.453,0.027,0.027,0.0,0.017,0.017,59.699
2.626,ebus2030_no_diesel_10m,0.0,0.0,0,7.085,0.427,0.313,0.313,0.01,0.058,0.38,0.027,0.027,0.0,0.017,0.017,59.699
2.626,ebus2030_no_diesel_10m,0.0,0.0,5,5.856,0.353,0.243,0.243,0.01,0.058,0.31,0.027,0.027,0.0,0.017,0.017,59.699
2.626,ebus2030_no_diesel_10m,0.0,0.0,10,3.902,0.235,0.131,0.131,0.01,0.058,0.198,0.027,0.027,0.0,0.017,0.017,59.699
2.626,ebus2030_no_diesel_10m,0.0,0.0,15,2.0,0.121,0.021,0.021,0.01,0.058,0.089,0.027,0.027,0.0,0.017,0.017,59.699
2.626,ebus2030_no_diesel_10m,0.0,0.0,20,1.625,0.098,0.0,0.0,0.01,0.058,0.067,0.027,0.027,0.0,0.017,0.017,59.699
2.626,ebus2030_no_diesel_10m,0.0,0.0,25,2.112,0.127,-0.042,0.028,0.01,0.058,0.095,0.027,0.027,0.0,0.017,0.017,59.699
2.626,ebus2030_no_diesel_10m,0.0,0.0,30,2.827,0.171,-0.103,0.069,0.01,0.058,0.136,0.027,0.027,0.0,0.017,0.017,59.699
2.626,ebus2030_no_diesel_10m,0.0,0.05,-20,16.163,0.975,0.758,0.758,0.01,0.058,0.826,0.106,0.106,0.0,0.014,0.014,59.699
2.626,ebus2030_no_diesel_10m,0.0,0.05,-15,13.929,0.84,0.63,0.63,0.01,0.058,0.697,0.106,0.106,0.0,0.014,0.014,59.699
2.626,ebus2030_no_diesel_10m,0.0,0.05,-10,11.761,0.71,0.506,0.506,0.01,0.058,0.573,0.106,0.106,0.0,0.014,0.014,59.699
