mean_speed_kmh,bus_type,level_of_loading,incline,t_amb,consumption_kwh_per_km,total_energy,heating_energy,heating_energy_el,ventilation_energy,other_energy,aux_energy,traction_power_fr_bat_wout_recup,traction_power_fr_bat_w_recup,recuperation_energy,traction_power_loss,energy_loss,distance
2.626,ebus2030_w_diesel_14m,0.0,-0.05,-20,9.461,0.571,0.763,0.438,0.014,0.082,0.532,0.01,0.01,0.0,0.111,0.111,59.699
2.626,ebus2030_w_diesel_14m,0.0,-0.05,-15,7.215,0.435,0.634,0.31,0.014,0.082,0.404,0.01,0.01,0.0,0.111,0.111,59.699
2.626,ebus2030_w_diesel_14m,0.0,-0.05,-10,5.035,0.304,0.509,0.185,0.014,0.082,0.279,0.01,0.01,0.0,0.111,0.111,59.699
2.626,ebus2030_w_diesel_14m,0.0,-0.05,-5,2.92,0.176,0.388,0.063,0.014,0.082,0.158,0.01,0.01,0.0,0.111,0.111,59.699
2.626,ebus2030_w_diesel_14m,0.0,-0.05,0,1.814,0.109,0.315,0.0,0.014,0.082,0.094,0.01,0.01,0.0,0.111,0.111,59.699
2.626,ebus2030_w_diesel_14m,0.0,-0.05,5,6.072,0.366,0.244,0.244,0.014,0.082,0.338,0.01,0.01,0.0,0.111,0.111,59.699
2.626,ebus2030_w_diesel_14m,0.0,-0.05,10,4.106,0.248,0.131,0.131,0.014,0.082,0.225,0.01,0.01,0.0,0.111,0.111,59.699
2.626,ebus2030_w_diesel_14m,0.0,-0.05,15,2.191,0.132,0.022,0.022,0.014,0.082,0.116,0.01,0.01,0.0,0.111,0.111,59.699
2.626,ebus2030_w_diesel_14m,0.0,-0.05,20,1.814,0.109,0.0,0.0,0.014,0.082,0.094,0.01,0.01,0.0,0.111,0.111,59.699
2.626,ebus2030_w_diesel_14m,0.0,-0.05,25,2.304,0.139,-0.042,0.028,0.014,0.082,0.122,0.01,0.01,0.0,0.111,0.111,59.699
2.626,ebus2030_w_diesel_14m,0.0,-0.05,30,3.024,0.182,-0.104,0.069,0.014,0.082,0.164,0.01,0.01,0.0,0.111,0.111,59.699
2.626,ebus2030_w_diesel_14m,0.0,0.0,-20,9.922,0.599,0.763,0.438,0.014,0.082,0.532,0.038,0.038,0.0,0.023,0.023,59.699
2.626,ebus2030_w_diesel_14m,0.0,0.0,-15,7.676,0.463,0.634,0.31,0.014,0.082,0.404,0.038,0.038,0.0,0.023,0.023,59.699
2.626,ebus2030_w_diesel_14m,0.0,0.0,-10,5.496,0.332,0.509,0.185,0.014,0.082,0.279,0.038,0.038,0.0,0.023,0.023,59.699
2.626,ebus2030_w_diesel_14m,0.0,0.0,-5,3.38,0.204,0.388,0.063,0.014,0.082,0.158,0.038,0.038,0.0,0.023,0.023,59.699
2.626,ebus2030_w_diesel_14m,0.0,0.0,0,2.275,0.137,0.315,0.0,0.014,0.082,0.094,0.038,0.038,0.0,0.023,0.023,59.699
2.626,ebus2030_w_diesel_14m,0.0,0.0,5,6.532,0.394,0.244,0.244,0.014,0.082,0.338,0.038,0.038,0.0,0.023,0.023,59.699
2.626,ebus2030_w_diesel_14m,0.0,0.0,10,4.566,0.276,0.131,0.131,0.014,0.082,0.225,0.038,0.038,0.0,0.023,0.023,59.699
2.626,ebus2030_w_diesel_14m,0.0,0.0,15,2.651,0.16,0.022,0.022,0.014,0.082,0.116,0.038,0.038,0.0,0.023,0.023,59.699
