time,temperature
1900-01-01 00:00:00,0
1900-01-01 01:00:00,1
1900-01-01 02:00:00,2
1900-01-01 03:00:00,3
1900-01-01 04:00:00,4
1900-01-01 05:00:00,5
1900-01-01 06:00:00,6
1900-01-01 07:00:00,7
1900-01-01 08:00:00,8
1900-01-01 09:00:00,9
1900-01-01 10:00:00,10
1900-01-01 11:00:00,11
1900-01-01 12:00:00,12
1900-01-01 13:00:00,13
1900-01-01 14:00:00,14
1900-01-01 15:00:00,15
1900-01-01 16:00:00,16
1900-01-01 17:00:00,17
1900-01-01 18:00:00,18
1900-01-01 19:00:00,19
1900-01-01 20:00:00,20
1900-01-01 21:00:00,21
1900-01-01 22:00:00,22
1900-01-01 23:00:00,23
